1	2000	0	0	0	0	0	0	0	1	1	0	0	0	1	0
2	2001	2	0	0	0	1	0	0	0	0	0	0	0	1	1
3	2002	2	0	0	0	0	0	1	1	0	0	1	0	2	0
4	2003	1	2	2	1	1	0	0	0	0	0	1	0	1	0
5	2004	0	0	0	1	1	2	2	0	1	0	0	2	1	0
6	2005	0	3	2	1	1	1	0	0	0	2	1	4	3	0
7	2006	1	0	0	2	1	0	0	1	0	1	0	0	0	0
8	2007	1	2	0	0	0	0	1	0	1	1	2	1	4	1
9	2008	0	0	1	2	0	1	2	1	0	1	0	3	0	0
10	2009	3	0	1	0	0	0	0	1	0	0	2	0	1	1
11	2010	0	0	0	0	0	0	1	0	0	2	0	1	0	1
12	2011	2	1	0	0	1	1	1	0	0	1	0	1	3	0
13	2012	1	1	2	1	0	0	3	2	1	1	0	1	2	0
14	2013	0	1	1	0	0	1	1	0	0	0	0	1	1	0
15	2014	0	0	1	1	0	1	1	0	0	1	2	2	0	2
16	2015	1	2	0	2	0	1	1	2	0	2	1	1	2	2
17	2016	0	0	0	1	1	1	0	1	1	0	3	3	1	0
18	2017	1	3	2	0	1	1	3	0	1	1	0	1	1	0
19	2018	0	1	0	0	0	1	0	2	0	0	1	3	0	0
20	2019	1	0	0	0	0	0	0	0	1	0	1	1	0	0

